Feature,Mutual_Information,Random_Forest,Permutation,Lasso,RFECV_Selected
Smoking Status,0.4722667752088907,0.7137187396331875,1.4316564321522418,0.8358438337913008,1
Hypertension,0.4010387294971436,0.21023605869521658,0.4082164422548124,0.44285002795879014,1
Age,1.7857989010047972,0.0743129657273339,0.1480347205198122,0.262870064759313,1
BMI,0.007714518658407776,0.0016654045904845617,0.003187077020119289,0.03136339191878252,1
Savings Amount,0.017157578522510875,7.762029585978081e-06,2.3571691317281205e-06,0.0,1
Medication Costs Per Year,0.008271156084306952,7.131798602140464e-06,2.347932635615724e-06,0.0,0
Medical History Score,0.012702168551819604,5.458056525557646e-06,1.5946976768876907e-06,0.0,0
Credit Score,0.0011659396230703223,7.179839963206574e-06,2.413407722545724e-06,0.0,0
Name,0.0030418130217784167,6.493338806652388e-06,1.6236066698094297e-06,0.0,0
Annual Income,0.0008503397260977152,6.241269671038008e-06,1.6702776314159173e-06,0.0,0
Stress Level,0.002260071147557774,5.093227498737467e-06,1.4027282386086525e-06,0.0,0
Region,0.008546257169384397,1.8161326804883404e-06,4.99924063435131e-07,0.0,0
Income Dependents,0.0,5.2176874808475856e-06,1.3074293469528264e-06,0.0,0
Number of Dependents,0.0,2.412384570676011e-06,6.364912093603792e-07,0.0,0
Exercise Frequency,0.0,2.326779606810595e-06,6.392888363571103e-07,0.0,0
